Date,Open,High,Low,Close,new case,death
3/16/2020,60,60,59,59,21,1
3/17/2020,55,55,55,55,17,0
3/18/2020,52,52,52,52,38,0
3/19/2020,50,51,50,50,0,0
3/20/2020,50,56,50,52,55,14
3/23/2020,52,52,50,50,82,6
3/24/2020,51,52,50,50,141,13
3/26/2020,51,66,50,59,64,10
3/27/2020,60,71,60,66,65,1
3/30/2020,64,67,62,62,103,20
3/31/2020,60,67,59,62,130,12
4/1/2020,58,65,58,59,129,8
4/2/2020,58,64,57,62,114,14
4/3/2020,63,78,63,76,149,21
4/6/2020,78,96,76,95,181,7
4/7/2020,101,108,89,92,218,11
4/8/2020,92,94,86,86,247,12
4/9/2020,87,92,81,92,218,19
4/13/2020,92,102,89,98,399,46
4/14/2020,98,102,95,96,316,26
4/15/2020,97,99,92,94,282,60
4/16/2020,94,95,89,89,297,10
4/17/2020,92,96,91,93,380,27
4/20/2020,94,104,91,99,327,47
4/21/2020,98,102,96,101,185,8
4/22/2020,101,109,98,108,375,26
4/23/2020,110,117,101,101,283,19
4/24/2020,105,105,97,98,357,12
4/27/2020,98,103,98,102,275,23
4/28/2020,104,105,99,101,214,22
4/29/2020,101,106,100,104,415,8
4/30/2020,105,109,105,107,260,11
5/4/2020,105,107,102,104,349,14
5/5/2020,107,107,100,101,395,19
5/6/2020,101,103,99,100,484,8
5/8/2020,100,103,99,100,338,35
5/11/2020,101,103,100,100,387,14
5/12/2020,100,108,99,101,233,18
5/13/2020,100,100,96,96,484,16
5/14/2020,94,95,91,91,689,21
5/15/2020,91,97,88,97,568,15
5/18/2020,100,103,97,100,489,59
5/19/2020,101,104,98,99,496,43
5/20/2020,99,100,95,97,486,30
5/26/2020,97,103,97,99,479,19
5/27/2020,100,101,96,99,415,27
5/28/2020,100,100,97,98,686,55
5/29/2020,98,98,96,97,687,23
6/2/2020,97,98,95,96,672,50
6/3/2020,96,100,96,98,847,32
6/4/2020,98,103,98,99,1043,40
6/5/2020,99,101,98,100,1240,36
6/8/2020,101,104,100,101,672,50
6/9/2020,103,118,101,113,847,32
6/10/2020,113,115,106,106,1043,40
6/11/2020,104,105,99,100,1240,36
6/12/2020,94,101,93,98,979,41
6/15/2020,98,102,95,96,857,43
6/16/2020,97,102,97,100,1017,64
