Date,Open,High,Low,Close,new case,death
3/16/2020,3300,3300,3160,3160,21,1
3/17/2020,3160,3160,2940,2940,17,0
3/18/2020,3010,3080,2740,2810,38,0
3/19/2020,2810,2810,2620,2620,0,0
3/20/2020,2660,2990,2450,2880,55,14
3/23/2020,2880,2880,2680,2680,82,6
3/24/2020,2700,2880,2570,2620,141,13
3/26/2020,2550,3080,2550,2980,64,10
3/27/2020,3050,3270,3050,3090,65,1
3/30/2020,3060,3180,2880,3140,103,20
3/31/2020,3180,3300,3120,3160,130,12
4/1/2020,3180,3200,3040,3100,129,8
4/2/2020,3100,3130,3020,3130,114,14
4/3/2020,3150,3220,3120,3200,149,21
4/6/2020,3280,3330,3180,3330,181,7
4/7/2020,3390,3500,3200,3220,218,11
4/8/2020,3220,3220,3050,3110,247,12
4/9/2020,3110,3180,3030,3120,218,19
4/13/2020,3140,3230,3130,3180,399,46
4/14/2020,3200,3250,3160,3240,316,26
4/15/2020,3250,3300,3090,3110,282,60
4/16/2020,3110,3110,3000,3000,297,10
4/17/2020,3050,3250,3050,3230,380,27
4/20/2020,3270,3270,3120,3120,327,47
4/21/2020,3120,3130,3050,3070,185,8
4/22/2020,3050,3270,3030,3160,375,26
4/23/2020,3200,3240,3070,3070,283,19
4/24/2020,3100,3160,3080,3090,357,12
4/27/2020,3120,3200,3100,3150,275,23
4/28/2020,3170,3200,3140,3160,214,22
4/29/2020,3200,3390,3100,3350,415,8
4/30/2020,3400,3540,3350,3500,260,11
5/4/2020,3400,3400,3260,3320,349,14
5/5/2020,3320,3390,3320,3320,395,19
5/6/2020,3300,3340,3220,3240,484,8
5/8/2020,3270,3290,3150,3190,338,35
5/11/2020,3220,3250,3210,3220,387,14
5/12/2020,3270,3270,3100,3150,233,18
5/13/2020,3150,3170,3080,3160,484,16
5/14/2020,3110,3140,3060,3070,689,21
5/15/2020,3100,3130,3020,3100,568,15
5/18/2020,3100,3220,3100,3220,489,59
5/19/2020,3250,3330,3250,3270,496,43
5/20/2020,3200,3260,3180,3180,486,30
5/26/2020,3150,3280,3130,3250,479,19
5/27/2020,3250,3270,3150,3170,415,27
5/28/2020,3180,3210,3130,3130,686,55
5/29/2020,3100,3150,3080,3150,687,23
6/2/2020,3160,3270,3120,3250,672,50
6/3/2020,3280,3320,3230,3290,847,32
6/4/2020,3320,3390,3250,3300,1043,40
6/5/2020,3360,3360,3200,3230,1240,36
6/8/2020,3250,3290,3220,3230,672,50
6/9/2020,3250,3270,3140,3140,847,32
6/10/2020,3150,3190,3100,3110,1043,40
6/11/2020,3120,3150,3060,3080,1240,36
6/12/2020,3080,3080,2970,3030,979,41
6/15/2020,3060,3150,3030,3090,857,43
6/16/2020,3150,3220,3130,3200,1017,64
6/17/2020,3210,3230,3140,3210,1106,33
6/18/2020,3210,3350,3180,3280,1031,45
6/19/2020,3300,3340,3250,3280,1331,63
6/22/2020,3290,3300,3180,3200,862,36
6/23/2020,3200,3200,3120,3130,954,35
6/24/2020,3150,3230,3140,3180,1051,35
6/25/2020,3160,3220,3140,3160,1113,38
6/26/2020,3190,3220,3180,3190,1178,47
6/29/2020,3200,3250,3160,3180,1198,34
6/30/2020,3090,3100,3050,3050,1082,51
7/1/2020,3070,3100,3010,3040,1293,71
7/2/2020,3040,3140,3040,3140,1385,58
7/3/2020,3150,3180,3110,3120,1624,53
7/6/2020,3130,3150,3040,3050,1607,82
7/7/2020,3060,3120,3050,3120,1209,70
7/8/2020,3130,3160,3110,3150,1268,68
7/9/2020,3170,3190,3110,3110,1853,50
7/10/2020,3110,3130,3100,3110,2657,58
7/13/2020,3120,3130,3080,3090,1681,71
7/14/2020,3100,3110,3070,3080,1282,50
7/15/2020,3120,3130,3080,3090,1591,54
7/16/2020,3090,3110,3080,3100,1522,87
7/17/2020,3100,3110,3060,3060,1574,76
7/20/2020,3080,3080,3040,3060,1639,127
7/21/2020,3050,3110,3050,3060,1693,96
7/22/2020,3070,3090,3060,3070,1655,81
7/23/2020,3070,3090,3060,3070,1882,139
