Date,Open,High,Low,Close,new case,death
3/16/2020,1685,1685,1580,1580,21,1
3/17/2020,1570,1580,1470,1470,17,0
3/18/2020,1480,1500,1370,1370,38,0
3/19/2020,1370,1370,1275,1275,0,0
3/20/2020,1260,1375,1190,1375,55,14
3/23/2020,1330,1330,1280,1280,82,6
3/24/2020,1270,1345,1195,1200,141,13
3/26/2020,1220,1450,1220,1340,64,10
3/27/2020,1400,1570,1345,1400,65,1
3/30/2020,1370,1425,1305,1425,103,20
3/31/2020,1450,1600,1450,1555,130,12
4/1/2020,1560,1640,1515,1550,129,8
4/2/2020,1545,1750,1490,1735,114,14
4/3/2020,1770,2010,1750,1945,149,21
4/6/2020,1985,2180,1985,2180,181,7
4/7/2020,2220,2370,2030,2060,218,11
4/8/2020,2040,2060,1920,1920,247,12
4/9/2020,1950,2030,1900,1955,218,19
4/13/2020,1995,2030,1860,1990,399,46
4/14/2020,2000,2080,1970,2070,316,26
4/15/2020,2090,2130,1970,1985,282,60
4/16/2020,1985,1985,1850,1880,297,10
4/17/2020,1880,2050,1880,2040,380,27
4/20/2020,2060,2080,1955,1965,327,47
4/21/2020,1965,1975,1900,1905,185,8
4/22/2020,1900,2180,1880,2110,375,26
4/23/2020,2150,2160,2030,2030,283,19
4/24/2020,2020,2150,1990,2000,357,12
4/27/2020,2040,2100,2030,2070,275,23
4/28/2020,2080,2100,2030,2040,214,22
4/29/2020,2050,2280,2050,2250,415,8
4/30/2020,2240,2320,2150,2150,260,11
5/4/2020,2150,2180,2090,2150,349,14
5/5/2020,2160,2210,2120,2150,395,19
5/6/2020,2170,2180,2090,2100,484,8
5/8/2020,2120,2140,2040,2050,338,35
5/11/2020,2070,2150,2060,2110,387,14
5/12/2020,2110,2130,1990,2000,233,18
5/13/2020,2010,2040,1950,1995,484,16
5/14/2020,1995,2030,1925,1950,689,21
5/15/2020,1980,2020,1945,2020,568,15
5/18/2020,2040,2080,2010,2030,489,59
5/19/2020,2060,2090,2000,2000,496,43
5/20/2020,2000,2030,1975,1975,486,30
5/26/2020,1990,2120,1980,2110,479,19
5/27/2020,2130,2150,2100,2110,415,27
5/28/2020,2110,2130,2030,2050,686,55
5/29/2020,2100,2110,2010,2020,687,23
6/2/2020,2020,2090,2020,2070,672,50
6/3/2020,2100,2140,2060,2060,847,32
6/4/2020,2080,2120,2040,2090,1043,40
6/5/2020,2060,2260,2060,2240,1240,36
6/8/2020,2300,2300,2210,2210,672,50
6/9/2020,2230,2260,2140,2140,847,32
6/10/2020,2140,2290,2130,2230,1043,40
6/11/2020,2240,2310,2180,2230,1240,36
6/12/2020,2180,2260,2080,2260,979,41
6/15/2020,2280,2450,2250,2250,857,43
6/16/2020,2350,2390,2300,2380,1017,64
6/17/2020,2390,2420,2330,2350,1106,33
6/18/2020,2300,2530,2290,2500,1031,45
6/19/2020,2500,2550,2470,2530,1331,63
6/22/2020,2530,2550,2430,2500,862,36
6/23/2020,2450,2510,2390,2400,954,35
6/24/2020,2400,2440,2340,2380,1051,35
6/25/2020,2380,2380,2320,2320,1113,38
6/26/2020,2350,2450,2320,2440,1178,47
6/29/2020,2430,2430,2360,2380,1198,34
6/30/2020,2360,2430,2340,2350,1082,51
7/1/2020,2350,2380,2320,2320,1293,71
7/2/2020,2320,2380,2300,2320,1385,58
7/3/2020,2350,2480,2330,2400,1624,53
7/6/2020,2400,2540,2400,2500,1607,82
7/7/2020,2530,2630,2470,2560,1209,70
7/8/2020,2570,2600,2540,2570,1268,68
7/9/2020,2590,2640,2550,2570,1853,50
7/10/2020,2550,2590,2530,2560,2657,58
7/13/2020,2570,2630,2560,2570,1681,71
7/14/2020,2570,2640,2550,2550,1282,50
7/15/2020,2580,2600,2550,2550,1591,54
7/16/2020,2590,2590,2500,2520,1522,87
7/17/2020,2530,2560,2530,2560,1574,76
7/20/2020,2570,2580,2480,2570,1639,127
7/21/2020,2550,2600,2550,2560,1693,96
7/22/2020,2560,2580,2530,2550,1655,81
7/23/2020,2570,2570,2540,2540,1882,139
7/24/2020,2520,2590,2500,2510,1906,117
7/27/2020,2520,2590,2510,2560,1492,67
7/28/2020,2540,2590,2500,2510,1525,57
7/29/2020,2510,2540,2340,2340,1748,63
7/30/2020,2350,2420,2210,2300,2381,74
8/3/2020,2320,2330,2140,2170,1519,43
8/4/2020,2170,2330,2170,2320,1679,66
8/5/2020,2340,2370,2270,2360,1922,86
8/6/2020,2350,2440,2350,2400,1815,64
8/7/2020,2400,2430,2330,2390,1882,69
8/10/2020,2430,2430,2390,2390,1893,65
8/11/2020,2400,2430,2380,2410,1687,42
8/12/2020,2410,2440,2340,2390,1693,59
8/13/2020,2390,2530,2390,2510,1942,79
8/14/2020,2520,2570,2460,2540,2098,65
8/18/2020,2530,2570,2490,2490,1821,57
8/19/2020,2530,2530,2460,2490,1673,70
8/24/2020,2500,2510,2430,2460,2037,86
8/25/2020,2490,2510,2460,2470,1877,79
8/26/2020,2470,2540,2440,2500,2447,99
8/27/2020,2510,2540,2390,2430,2306,86
8/28/2020,2430,2440,2360,2380,2719,120
8/31/2020,2400,2420,2250,2300,2858,82
